epoch,accuracy,loss,val_accuracy,val_loss
0,0.36617767810821533,1.3211292028427124,0.4639769494533539,1.2516692876815796
1,0.6473844647407532,0.9877097010612488,0.6599423885345459,0.9155669212341309
2,0.79490727186203,0.5977245569229126,0.7002881765365601,0.7618839740753174
3,0.8411292433738708,0.4244740605354309,0.6974063515663147,0.7550351619720459
4,0.8809853196144104,0.33894702792167664,0.7031700015068054,0.7827823758125305
5,0.9042347073554993,0.2785728871822357,0.7002881765365601,0.8683739900588989
6,0.9216717481613159,0.2317163497209549,0.6974063515663147,0.906489908695221
7,0.9346803426742554,0.19971898198127747,0.6887608170509338,0.9702015519142151
8,0.9435372352600098,0.17267966270446777,0.6945244669914246,1.025730848312378
9,0.9590368270874023,0.15013179183006287,0.6714697480201721,1.090600609779358
10,0.9606974720954895,0.13087448477745056,0.6628242135047913,1.1635853052139282
11,0.9648491740226746,0.11956356465816498,0.6916426420211792,1.220680832862854
12,0.9698311686515808,0.10669130831956863,0.6714697480201721,1.2732875347137451
13,0.9698311686515808,0.10424527525901794,0.6628242135047913,1.2910226583480835
14,0.972045361995697,0.09288737177848816,0.6599423885345459,1.3167437314987183
15,0.9731525182723999,0.09058945626020432,0.6657060384750366,1.373234510421753
16,0.972875714302063,0.09034410864114761,0.6628242135047913,1.419560194015503
17,0.9748131632804871,0.08054996281862259,0.6657060384750366,1.415867567062378
18,0.975089967250824,0.07852867245674133,0.6599423885345459,1.4314590692520142
19,0.976473867893219,0.0729110836982727,0.6657060384750366,1.4679948091506958
20,0.9759202599525452,0.0717136412858963,0.651296854019165,1.4808475971221924
21,0.9781345129013062,0.0656079649925232,0.6541786789894104,1.5171942710876465
22,0.9789648652076721,0.0633026510477066,0.6657060384750366,1.5143202543258667
23,0.976473867893219,0.0736466720700264,0.6829971075057983,1.5032739639282227
24,0.9786880612373352,0.060457758605480194,0.6714697480201721,1.5401936769485474
